2025-04-12 03:13:52,783 [INFO] Starting CIFAR-10 training...
2025-04-12 03:13:54,294 [INFO] Starting hyperparameter search...
2025-04-12 03:13:54,294 [INFO] 
2025-04-12 03:14:35,397 [INFO] Epoch 7/20, Train Loss: 2.1174, Train Acc: 0.5300, Val Loss: 2.5411, Val Acc: 0.3620
2025-04-12 03:14:36,135 [INFO] Epoch 8/20, Train Loss: 2.0466, Train Acc: 0.5590, Val Loss: 2.5288, Val Acc: 0.3700
2025-04-12 03:14:36,854 [INFO] Epoch 9/20, Train Loss: 1.9854, Train Acc: 0.5980, Val Loss: 2.4987, Val Acc: 0.3800
2025-04-12 03:14:37,633 [INFO] Epoch 10/20, Train Loss: 1.9830, Train Acc: 0.5770, Val Loss: 2.5299, Val Acc: 0.3580
2025-04-12 03:14:38,314 [INFO] Epoch 11/20, Train Loss: 1.9410, Train Acc: 0.5980, Val Loss: 2.5193, Val Acc: 0.3580
2025-04-12 03:14:39,116 [INFO] Epoch 12/20, Train Loss: 1.8912, Train Acc: 0.6230, Val Loss: 2.4697, Val Acc: 0.3920
2025-04-12 03:14:39,837 [INFO] Epoch 13/20, Train Loss: 1.8724, Train Acc: 0.6210, Val Loss: 2.4791, Val Acc: 0.3660
2025-04-12 03:14:40,544 [INFO] Epoch 14/20, Train Loss: 1.8802, Train Acc: 0.6320, Val Loss: 2.4909, Val Acc: 0.3800
2025-04-12 03:14:41,217 [INFO] Epoch 15/20, Train Loss: 1.8381, Train Acc: 0.6360, Val Loss: 2.4871, Val Acc: 0.3740
2025-04-12 03:14:41,998 [INFO] Epoch 16/20, Train Loss: 1.8284, Train Acc: 0.6290, Val Loss: 2.4877, Val Acc: 0.3960
2025-04-12 03:14:42,807 [INFO] Epoch 17/20, Train Loss: 1.7876, Train Acc: 0.6760, Val Loss: 2.4541, Val Acc: 0.3960
2025-04-12 03:14:43,697 [INFO] Epoch 18/20, Train Loss: 1.7882, Train Acc: 0.6690, Val Loss: 2.4699, Val Acc: 0.3720
2025-04-12 03:14:44,435 [INFO] Epoch 19/20, Train Loss: 1.7696, Train Acc: 0.6790, Val Loss: 2.4573, Val Acc: 0.3820
2025-04-12 03:14:45,157 [INFO] Epoch 20/20, Train Loss: 1.7574, Train Acc: 0.6930, Val Loss: 2.4529, Val Acc: 0.3920
2025-04-12 03:14:44,980 [INFO] Test Accuracy: 0.3823
